"","hospital_id","name","addr","city","region","country","phone","long","lat"
"37","f7ebfdaf","Hospital de Campaña Sanitario (Hcs144)","Calle De Jose Silva, 7, 28043","Gijón","Asturias","Spain","+34 91 591 84 64","-3.6627000","40.4921630"
"38","2f468dc2","Hospital HC Miraflores","Carretera N-340, 1193, 43700","Zaragoza","Aragón","Spain","+34 90 817 56 17","-6.3541980","36.7788200"
"39","4c892463","Hospital Universitario de Jaén Puerta de Andalucía","Avenida Madrid, 1, 06400","Jaén","Andalucía","Spain",NA,"-4.1013670","40.6775270"
"40","df39045d","Policlinico Riojano Nuestra Señora De Valvanera","Plaza Del Hospital Civil, S/N, 29009","Logroño","La Rioja","Spain","+34 99 620 38 45","-3.6813740","40.4571440"
"41","3333578d","Hospital San Pedro","Calle Jorge Juan, 30, 30205","Logroño","La Rioja","Spain",NA,"2.0391890","41.3493900"
"42","23a11ca6","Hospital De La Rioja","Camino Camino San Juan De Dios, 12, 20009","Logroño","La Rioja","Spain","+34 98 277 37 59","3.1080470","39.8142750"
"43","145782b2","Fundación Hospital Calahorra","Calle Dr. Castany, S/N, 17190","Calahorra","La Rioja","Spain",NA,"-4.5410470","36.6067070"
"44","82bfc550","Clínica Los Manzanos","As, Xubias de Abaixo, s/n, 15009","Lardero","La Rioja","Spain","+34 97 975 92 60","-1.0864300","38.8611720"
"45","91b2055b","Centro Sociosanitario De Convalencencia Los Jazmines","Avenida Miguel Espinosa, S/N, 30400","Haro","La Rioja","Spain",NA,"1.8502820","42.1045280"
"46","65004739","Centro Sociosanitario De Convalecencia Nuestra Señora Virgen Del Carmen","Carretera Los Molares, S/N, 14012","Calahorra","La Rioja","Spain",NA,"-0.9642680","37.5960240"
"47","75b21c32","Centro Asistencial Albelda De Iregua","Camino D'Ur, 31, 17520","Albelda de Iregua","La Rioja","Spain",NA,"-0.3639320","39.4783500"
"48","ac5fcb60","Urduliz Ospitalea","Avenida Nafarroa, Avenida/Etorbidea, 16, 20500","Urduliz","País Vasco","Spain","+34 93 736 18 63","-3.9108520","39.0208700"
"49","100535e4","Sanatorio Usurbil, S. L.","Calle Marques De Santa Anna, 9, 08023","Usurbil","País Vasco","Spain",NA,"-6.0878450","40.0421050"
"50","3756181d","Sanatorio Bilbaino","C. Newton, 13, 11407","Bilbao","País Vasco","Spain","+34 96 639 70 22","-4.6909800","40.6506160"
"51","fecf7aca","Policlínica Gipuzkoa","Avenida De Los Reyes Catolicos, 2, 28040","Donostia-San Sebastián","País Vasco","Spain","+34 90 677 57 61","-2.9311360","43.2648960"
"52","1fc656ee","Mutualia Clínica Pakea","Calle De La Maso, 38, 28034","Donostia-San Sebastián","País Vasco","Spain","+34 97 694 86 95","2.8264340","41.9829580"
"53","fcac0760","Hospital Vithas San José","Calle Camelies, 15, 08024","Vitoria-Gasteiz","País Vasco","Spain","+34 95 671 21 60","1.8794260","41.9779340"
"54","6442ea27","Hospital Universitario Donostia","Calle Corredoira, S/N, 27400","Donostia-San Sebastián","País Vasco","Spain","+34 95 162 37 47","-5.9795140","37.3593360"
"55","44bed6f5","Hospital Universitario Cruces","Calle Feduchy, 8, 11001","Barakaldo","País Vasco","Spain","+34 95 986 92 40","-3.9977250","39.8678090"
"56","f99968aa","Hospital Universitario Basurto","Carretera Nacional 340, Km 589, S/N, 30817","Bilbao","País Vasco","Spain","+34 90 337 83 61","2.1558570","41.4060940"
"57","967336d3","Hospital Universitario Araba - Sede Txagorritxu y Sede Santiago","Calle Remei De Dalt, 3, 08240","Vitoria-Gasteiz","País Vasco","Spain","+34 93 469 49 91","1.9206090","41.4720980"
"58","2d2fd020","Hospital Santa Marina","Calle Sant Segimon, 3, 08500","Bilbao","País Vasco","Spain","+34 96 460 35 38","-1.1188140","37.9779800"
"59","0616d64d","Hospital San Juan De Dios","Calle Medico Vior, S/N, 27880","Donostia-San Sebastián","País Vasco","Spain","+34 98 215 51 78","-3.6107500","40.5589990"
"60","57f11547","Hospital San Juan De Dios Santurtzi","Camino de las Torres, 51-53","Santurtzi","País Vasco","Spain",NA,"-3.6917570","40.4481220"
"61","038dff84","Hospital San Eloy","Lugar Santiso, S/N, 15821","Barakaldo","País Vasco","Spain","+34 98 619 28 69","-0.9057090","41.6309840"
"62","ef72dfdb","Hospital Ricardo Bermingham","Avenida Severo Ochoa, S/N - Edif. Mayoral, S/N, 29603","Donostia-San Sebastián","País Vasco","Spain","+34 94 545 24 14","-6.3636150","38.9127150"
"63","90ddf73c","Hospital Quirónsalud Vitoria","Avenida Avda. Antonio Miranda, 5, 48902","Vitoria-Gasteiz","País Vasco","Spain","+34 93 280 66 83","-3.6968230","40.3796950"
"64","cfc8c788","Hospital Quirónsalud Bizkaia","Avenida Requejo, 35, 49022","Erandio","País Vasco","Spain","+34 92 435 80 44","-5.1808470","43.3752260"
"65","aa8550de","Hospital Psiquiátrico San Juan De Dios","Calle Lillo Juan, 137, 03690","Arrasate/Mondragón","País Vasco","Spain","+34 98 298 39 85","-15.4626540","28.0552410"
"66","97aeda2c","Hospital Psiquiátrico de Álava","Avenida De Extremadura, 5, 45600","Vitoria-Gasteiz","País Vasco","Spain","+34 92 715 15 52","-0.1656460","38.5265320"
"67","7aa25d06","Hospital Intermutual De Euskadi","Avenida França, S/N, 17007","Bilbao","País Vasco","Spain","+34 94 999 56 19","-1.9651780","42.3037450"
"68","246c6318","Hospital Galdakao-Usansolo","Calle General Davila, 35, 39006","Galdakao","País Vasco","Spain","+34 95 590 59 37","2.1307270","41.3934840"
"69","f7caa93e","Hospital De Zumarraga - Osi Goierri - Alto Urola","Calle Maestro Mendiri, 2, 48006","Zumarraga","País Vasco","Spain","+34 98 265 10 92","-2.5475660","43.1707530"
"70","e8876121","Hospital De Zamudio","Glorieta De Mejico, 1, 41012","Zamudio","País Vasco","Spain","+34 98 860 38 79","2.0857320","41.4843630"
"71","8664fbe3","Hospital De Zaldibar","Calle Urbanizacion Tres Culturas, S/N, 45005","Zaldibar","País Vasco","Spain",NA,"-0.4153750","42.1514450"
"72","f16e000e","Hospital De Mendaro - Osi Bajo Deba","Calle Dr. Antoni Pujadas, 38, 08830","Mendaro","País Vasco","Spain","+34 94 292 18 64","-3.7595160","40.3820100"
"73","9ad2d88e","Hospital De Leza","Calle De Modesto Lafuente, 14, 28010","Laguardia","País Vasco","Spain","+34 96 637 82 82","2.1927990","41.4361950"
"74","2c64e9ae","Hospital De Gorliz","Calle De Juan Bravo, 39, 28006","Gorliz","País Vasco","Spain",NA,"0.6137200","41.6248040"
"75","f00f6079","Hospital De Cuidados San Onofre Sl","Calle Piqueras, 98, 26006","Vitoria-Gasteiz","País Vasco","Spain",NA,"-2.9525180","43.2599390"
"76","ec9e0293","Hospital De Bermeo","Rambla Vella, 14, 43003","Bermeo","País Vasco","Spain","+34 94 701 26 95","-4.5435390","42.0043360"
"77","87898e81","Hospital Cruz Roja De Bilbao - Victoria Eugenia","Calle Esperanza (La), 3, 01002","Bilbao","País Vasco","Spain",NA,"2.2681180","41.6601160"
"78","a2fdc187","Hospital Bidasoa - Osi Bidasoa","Avenida De Francisco Cerda, 3, 46870","Hondarribia","País Vasco","Spain","+34 92 570 44 27","-6.9701580","38.8785510"
"79","09aa2c72","Hospital Alto Deba - Organizacion Sanitaria Integrada Alto Deba","Avenida Alcalde  Rovira  Roure, 80, 25198","Arrasate/Mondragón","País Vasco","Spain",NA,"-5.6064990","43.5235690"
"80","5df03eb3","Hospital Aita Menni","Plaza Joaquim  Bau, 6-8, 43500","Arrasate/Mondragón","País Vasco","Spain",NA,"-5.4327310","36.1748470"
"81","f7a35888","Fundacion Onkologikoa Fundazioa","Plaza Del Conde Del Valle De Suchil, 16, 28015","Donostia-San Sebastián","País Vasco","Spain","+34 92 757 45 36","2.2901230","41.6136430"
"82","438248f8","Eibar Ospitalea","Carretera Arguis, KM 2,5, 22006","Eibar","País Vasco","Spain","+34 93 645 39 68","-0.4699360","38.4205960"
"83","acda8877","Clínica Virgen Blanca","Calle Del Profesor Martin Lagos, S/N, 28040","Bilbao","País Vasco","Spain",NA,"0.5524320","41.6692270"
"84","6be0950f","Clínica Santa Maria De La Asuncion - Inviza","Calle Vives Llull, 6, 07703","Tolosa","País Vasco","Spain",NA,"-3.8540440","40.4502840"
"85","05070000","Clínica Indautxu, S.A.","Paseo Universal, 34, 08042","Bilbao","País Vasco","Spain",NA,"-3.1367800","37.3027650"
"86","54107721","Clínica Imq Zorrotzaurre","Calle Miguel Hernandez, 12, 30011","Bilbao","País Vasco","Spain","+34 98 817 79 28","2.6985940","39.5471160"
"87","75d9fbd4","Clínica Guimon, S.A.","Calle Cami Dels Reis, 308, 07010","Bilbao","País Vasco","Spain","+34 99 139 16 13","2.1726070","41.4100260"
"88","7353e0af","Clínica Ercilla Mutualia","Avenida Intendente Jorge Palacios, 1, 30003","Bilbao","País Vasco","Spain","+34 93 856 18 83","-3.6194480","40.1561800"
"89","39612ade","Amsa Servicio De Psiquiatria","Calle Luna, 1, 28911","Santurtzi","País Vasco","Spain",NA,"-6.1180200","36.7127000"
"90","701b34fc","Hospital San Juan De Dios","Calle Pinar, 7, 49023","Pamplona/Iruña","Navarra","Spain",NA,"-0.4736960","38.3538750"
"91","f1ff9973","Hospital Reina Sofia","Calle Ferrocarril, 57, 46100","Tudela","Navarra","Spain","+34 91 324 39 18","-4.7520800","37.3974070"
"92","87bcb322","Hospital García Orcoyen","Carretera De Linares, S/N, 23400","Estella/Lizarra","Navarra","Spain","+34 99 294 12 69","2.0166020","41.5649160"
"93","9100ff89","Complejo Hospitalario De Navarra","Plaza Doctor Gomez Ulla, 15, 03013","Pamplona/Iruña","Navarra","Spain",NA,"-2.9830710","43.2810950"
"94","4047950a","Clínica San Miguel","Avenida Doctor Fedriani, 3, 41009","Pamplona/Iruña","Navarra","Spain","+34 97 848 28 61","-2.9612060","43.3749060"
"95","afd91a07","Clínica Psiquiátrica Padre Menni","Calle Isabel De Villena, 2, 46011","Pamplona/Iruña","Navarra","Spain",NA,"-0.6030380","38.8199300"
"96","f20b0e6d","Clínica Psicogeriátrica Josefina Arregui","Carretera Madrid, KM 114, 45600","Altsasu/Alsasua","Navarra","Spain","+34 99 106 30 95","-2.0135370","43.3115470"
"97","643abfe9","Centro San Francisco Javier","Calle Plato, 21, 08006","Pamplona/Iruña","Navarra","Spain","+34 93 497 68 40","-0.1063840","38.5414810"
"98","ad6b5e7c","Centro Hospitalario Benito Menni","Calle Antoni Gaudi, 26, 43203","Baztan","Navarra","Spain","+34 90 758 75 38","-0.7183120","37.9432640"
"99","089d41ad","Santo Y Real Hospital De Caridad","Calle Joaquin Beunza, 45 , 31014","Cartagena","Murcia","Spain","+34 96 271 55 43","-13.6525960","28.9532320"
"100","5d8ca22d","Sanatorio Dr. Muñoz","Avenida Josep Molins,29, 08906","Murcia","Murcia","Spain","+34 95 477 70 17","-5.8617520","38.9543040"
"101","4493633d","Residencia Los Almendros","Avenida Del Rio Pudio, S/N, 41930","Cartagena","Murcia","Spain","+34 97 486 19 32","1.7047130","41.3394850"
"102","dc48f024","Hospital Virgen Del Castillo","Avenida Zaragoza, 16, 44001","Yecla","Murcia","Spain","+34 96 353 83 61","-2.4679040","36.8400960"
"103","db0afeac","Hospital Virgen Del Alcázar De Lorca","Carretera Ctra. Montoro-Puente Genil, Km. 65,350, S/N, 14550","Lorca","Murcia","Spain","+34 98 622 50 28","-2.8044080","38.3532260"
"104","1cba5473","Hospital Santa María Del Rosell","Avenida De La Universidad, 75, 10004","Cartagena","Murcia","Spain",NA,"-2.8865830","43.2632020"
"105","51abaab6","Hospital Rafael Méndez","Avenida Derechos Humanos, S/N, 39770","Lorca","Murcia","Spain","+34 94 217 59 47","1.8292920","41.7253200"
"106","cc9b511d","Hospital Quirónsalud Murcia","Calle Profesor Beltran Baguena, 8, 46009","Murcia","Murcia","Spain",NA,"-0.8424960","41.7185890"
"107","94fb08e9","Hospital Psiquiátrico Román Alberca","Calle Del Concejal Francisco Jose Jimenez Martin, 128, 28047","Murcia","Murcia","Spain",NA,"-16.2926390","28.4676020"
"108","6b3c8190","Hospital Perpetuo Socorro Alameda","Avenida Vallcarca, 169-205, 08023","Cartagena","Murcia","Spain","+34 92 101 58 10","2.1231280","41.3881710"
"109","23f799a1","Hospital Nuestra Señora Del Perpetuo Socorro","Ronda Sant Antoni Maria Claret, 20, 17002","Cartagena","Murcia","Spain",NA,"-6.6423600","42.5732740"
"110","d57d0a12","Hospital Mesa Del Castillo","Calle Sebastian Feringan, 12, 30205","Murcia","Murcia","Spain","+34 99 370 90 67","-2.4901170","43.0657200"
"111","60bccda4","Hospital La Vega - Grupo HLA","Avenida Ruiz Jarabo, S/N, 44002","Murcia","Murcia","Spain",NA,"-6.4052720","38.6805040"
"112","c65d1fe6","Hospital Ibermutuamur - Patología Laboral","Calle De La Salle, 12, 28023","Murcia","Murcia","Spain",NA,"-3.8152460","40.2856930"
"113","c086ff58","Hospital General Universitario Santa Lucía","Calle Felipe Ii, 9, 47003","Cartagena","Murcia","Spain","+34 98 746 18 23","-3.6943710","41.6620130"
"114","33eab43b","Hospital General Universitario Reina Sofia","Calle De La Loma, 1, 28003","Murcia","Murcia","Spain",NA,"2.8250260","41.9763500"
"115","91dd839b","Hospital General Universitario Los Arcos Del Mar Menor","Camino Can Ruti, S/N, 08916","San Javier","Murcia","Spain",NA,"-17.7877120","28.6726230"
"116","8ab4f71c","Hospital G. Universitario J.M. Morales Meseguer","Avenida Concejal Mariano Henarejos, 13, 30740","Murcia","Murcia","Spain","+34 91 521 33 53","-5.9872720","37.3645210"
"117","3378af33","Hospital De Molina","Calle Extremadura, 8, 29018","Molina de Segura","Murcia","Spain","+34 94 974 85 96","-1.1810730","37.9299320"
"118","b3c24f92","Hospital De La Vega Lorenzo Guirao","Finca Valcorchero, 2, 10600","Cieza","Murcia","Spain","+34 93 754 89 67","-3.8015940","43.4676510"
"119","6a0cdcba","Hospital De Cuidados Medios Villademar","Calle Alava, 43, 01006","San Pedro del Pinatar","Murcia","Spain","+34 96 464 37 44","-5.9361230","43.5520930"
"120","360e5e29","Hospital Comarcal Del Noroeste","Av. de Portugal, 83, 37005","Caravaca de la Cruz","Murcia","Spain",NA,"-0.9967790","37.6140600"
"121","81e3cc2a","Hospital Clínico Universitario Virgen De La Arrixaca","Calle Rafael Salgado, 3, 41013","Murcia","Murcia","Spain","+34 95 931 91 64","-1.9860610","43.2951810"
"122","bbd305d2","Hospital C. M. Virgen De La Caridad Cartagena","Calle Via Iberica, 1-15, 50009","Cartagena","Murcia","Spain","+34 93 988 96 56","2.1360810","41.4124760"
"123","dc8ce339","Fundacion Hospital Real Piedad","Calle Poeta Rodriguez Herrera, 1, 38006","Cehegín","Murcia","Spain","+34 90 677 21 51","-3.6080260","37.1639020"
"124","e08dd841","Clínica San Felipe del Mediterráneo","Avenida Diego Moron, 3, 21005","Murcia","Murcia","Spain",NA,"2.1236320","41.3910720"
"125","e6c9dfdc","Clinica Medico-Quirurgica San José","Calle Hnos. Maristas, S/N, 26140","Alcantarilla","Murcia","Spain",NA,"-3.6822640","42.3445230"
"126","eaccc94c","Clinica Doctor Bernal","Camí de Betxí, 43-55, 12540","Caravaca de la Cruz","Murcia","Spain",NA,"-2.9516160","43.2677400"
"127","ea4e499f","Hospital Comarcal De Melilla","Calle De Francisco Silvela, 40, 28028","Melilla","Melilla","Spain","+34 97 727 45 40","-6.3636520","39.4820330"
"128","59f864cd","Sanatorio Nuestra Señora Del Rosario","Calle Carretera De Burgos, 0, 34004","Madrid","Comunidad de Madrid","Spain","+34 98 189 87 78","-4.5364640","42.0027600"
"129","84ed3a7b","Sanatorio Esquerdo, S.A.","Avenida Blasco Ibañez, 17, 46010","Madrid","Comunidad de Madrid","Spain","+34 90 135 76 21","-8.6472090","42.4322260"
"130","fcf82d0f","Ita Clinic Bcn, S.L.","Avenida Manuel Siurot, S/N, 41013","Alcalá de Henares","Comunidad de Madrid","Spain",NA,"-3.7914090","37.7743980"
"131","03f66a23","Instituto Psiquiátrico Servicios De Salud Mental Jose Germain - 2 Aragon","Calle Autovia Sevilla-Huelva, S/N, 21080","Leganés","Comunidad de Madrid","Spain","+34 96 432 60 29","1.5387390","41.2261780"
"132","96b46ae3","Instituto Psiquiátrico Servicios De Salud Mental Jose Germain - 1 Luna","Barrio San Esteban Auzoa, 48, 20170","Leganés","Comunidad de Madrid","Spain",NA,"-3.8314290","43.4765280"
"133","ac332194","Instituto Provincial De Rehabilitación","Carretera Almeria, S/N, 29790","Madrid","Comunidad de Madrid","Spain","+34 97 784 48 17","-0.4016020","39.4783520"
"134","8f250551","Hospital Virgen Del Mar","Carretera Sevilla-Huelva, S/N, 21005","Madrid","Comunidad de Madrid","Spain","+34 95 711 48 23","-5.6581850","43.5376430"
"135","a82b35ad","Hospital Virgen De La Torre","Calle Pere Ii De Montcada, 16, 08034","Madrid","Comunidad de Madrid","Spain","+34 91 112 78 20","1.0854500","41.1599500"
"136","ef212813","Hospital Virgen De La Poveda","Carretera Puebla De Montalban, KM. 3,6, 45071","Villa del Prado","Comunidad de Madrid","Spain","+34 93 629 28 15","-0.9932600","37.6255520"
"137","8ed402bb","Hospital Universitario Virgen De La Paloma","Avenida Blasco Ibañez, 14, 46010","Madrid","Comunidad de Madrid","Spain","+34 90 138 89 83","-15.4997770","28.0291580"
"138","d134dcb9","Hospital Universitario Severo Ochoa","Avenida Richard Grandio, S/N, 33193","Leganés","Comunidad de Madrid","Spain","+34 97 768 95 81","0.4301600","41.7391500"
"139","8e8ca599","Hospital Universitario Santa Cristina","Barrio Finca Zubieta, Barrio Mendelu, S/N, 20280","Madrid","Comunidad de Madrid","Spain","+34 94 533 26 93","-8.2030180","43.4941510"
"140","4980c7c7","Hospital Universitario Rey Juan Carlos","Carretera Vella De Llubi, S/N, 07300","Móstoles","Comunidad de Madrid","Spain","+34 99 639 88 93","2.8532580","41.7009130"
"141","36e7164e","Hospital Universitario Quirónsalud Madrid","Calle Leon Y Castillo, 292, 35005","Pozuelo de Alarcón","Comunidad de Madrid","Spain","+34 97 208 54 58","2.1572020","41.4139720"
"142","38090a8e","Hospital Universitario Principe De Asturias","Carretera Manacor - Alcudia, S/N, 07500","Alcalá de Henares","Comunidad de Madrid","Spain","+34 90 958 89 81","0.0905090","38.8251000"
"143","00166de9","Hospital Universitario La Zarzuela","Calle Mendez Nuñez, 40, 38003","Madrid","Comunidad de Madrid","Spain","+34 92 903 84 19","2.6305020","39.5835960"
"144","792cd886","Hospital Universitario La Moraleja","Avenida Del Brillante, 106, 14012","Madrid","Comunidad de Madrid","Spain","+34 92 240 27 24","2.4823670","41.5723690"
"145","cdb7d342","Hospital Universitario Infanta Sofia","Camino Sant Jeroni De La Murtra,, 60, 08917","San Sebastián de los Reyes","Comunidad de Madrid","Spain","+34 94 657 19 44","2.2308010","41.4589660"
"146","0db595ab","Hospital Universitario Infanta Leonor","Carretera Rapitan, S/N, 22700","Madrid","Comunidad de Madrid","Spain","+34 99 613 59 30","-3.6947100","40.4771100"
"147","f783e93a","Hospital Universitario Infanta Elena","Carretera De Ribes, S/N, 08600","Valdemoro","Comunidad de Madrid","Spain",NA,"-3.6663010","40.4893240"
"148","f995360e","Hospital Universitario Hm Torrelodones","Paseo Europa, 34, 28702","Torrelodones","Comunidad de Madrid","Spain","+34 97 738 20 98","-4.1258260","40.6013130"
"149","c407b1cb","Hospital Universitario Hm Monteprincipe","Avenida Jacint Verdaguer, 90, 08970","Boadilla del Monte","Comunidad de Madrid","Spain",NA,"-5.5725260","42.5899880"
"150","69877eaf","Hospital Universitario Hm Madrid","Calle America, 15, 43870","Madrid","Comunidad de Madrid","Spain","+34 98 376 87 22","-1.9809250","43.2899180"
"151","1c8b8b13","Hospital Universitario General de Villalba","Calle Pedro I Pons, 1, 08195","Collado Villalba","Comunidad de Madrid","Spain",NA,"-3.6808620","42.3526110"
"152","3c66ffb4","Hospital Universitario Fundación Alcorcón","Avenida Doctor Clara, 19, 12002","Alcorcón","Comunidad de Madrid","Spain",NA,"-3.6602650","40.4600760"
"153","0d6ca1b6","Hospital Universitario Del Sureste","Calle Tonico Sansano Mora, 14, 03293","Arganda del Rey","Comunidad de Madrid","Spain","+34 93 812 40 47","-8.7275900","42.2234560"
"154","f85bac6a","Hospital Universitario De Torrejón","Calle Sabino De  Arana, 5-19, 08028","Torrejón de Ardoz","Comunidad de Madrid","Spain","+34 91 892 49 28","-4.2317190","36.7131670"
"155","c01adebb","Hospital Universitario De Móstoles","Avenida Eduardo Castro, S/N, 33290","Móstoles","Comunidad de Madrid","Spain","+34 98 665 85 64","-4.7229950","41.6291680"
"156","2a8cd2c3","Hospital Universitario De La Princesa","Paseo Ruiseñores, 20, 50006","Madrid","Comunidad de Madrid","Spain","+34 97 425 91 25","0.5101280","40.8270660"
"157","c9f1cf47","Hospital Universitario De Getafe","Avenida Eduardo Dato, 42, 41005","Getafe","Comunidad de Madrid","Spain","+34 93 965 37 58","2.6469360","39.5757350"
"158","e9c5c305","Hospital Universitario De Fuenlabrada","Calle Garcia Mariño, 4, 08022","Fuenlabrada","Comunidad de Madrid","Spain","+34 99 915 40 85","-4.4191620","36.7208060"
"159","4f1fc8a9","Hospital Universitario 12 De Octubre","Avenida Academia General Militar, 74, 50015","Madrid","Comunidad de Madrid","Spain",NA,"-6.1499840","36.4208030"
